2025-01-01 01:10:31 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 650
2025-01-01 01:10:31 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 650
2025-01-01 01:10:31 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 650
2025-01-01 08:58:32 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 649
2025-01-01 08:58:43 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 648
2025-01-01 09:02:51 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 643
2025-01-01 09:02:51 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 643
2025-01-01 09:02:51 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 643
2025-01-01 09:02:51 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 643
2025-01-01 09:02:51 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 643
2025-01-01 09:03:42 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 643
2025-01-01 09:03:56 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 642
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 113648334_p0.png; Remaining unclassified images: 644
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 113648334_p1.png; Remaining unclassified images: 653
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 113672442_p0.jpg; Remaining unclassified images: 656
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 113672442_p1.jpg; Remaining unclassified images: 659
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 113768374_p0.png; Remaining unclassified images: 662
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 115003962_p0.jpg; Remaining unclassified images: 666
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 116557115_p0.png; Remaining unclassified images: 668
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 116557115_p1.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 116592509_p0.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 116592509_p1.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 116592509_p2.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 118466775_p0.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 119511713_p0.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 119518766_p0.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 122068223_p0.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 122068223_p1.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 122068223_p2.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 122068275_p0.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125499812_p0.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125499812_p1.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125499812_p2.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125499812_p3.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125499812_p4.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125535719_p0.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125633037_p0.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 125766766_p0.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 96322269_p0.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 105863575_p0.png; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 108734612_p0.jpg; Remaining unclassified images: 670
2025-01-01 10:31:06 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: 108734612_p1.jpg; Remaining unclassified images: 670
2025-01-01 10:31:13 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 670
2025-01-01 10:31:13 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 670
2025-01-01 10:31:23 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 669
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:31:47 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 661
2025-01-01 10:34:40 Thread: [ReadAndMovePool-thread-1] (ID: 48) INFO - File(s) has/have been moved; Remaining unclassified images: 659
2025-01-01 10:34:40 Thread: [ReadAndMovePool-thread-3] (ID: 50) INFO - File(s) has/have been moved; Remaining unclassified images: 659
2025-01-01 10:38:59 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: httpsdanbooru.donmai.usposts7238448.jpg; Remaining unclassified images: 660
2025-01-01 10:38:59 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: httpsx.comBlue_ArchiveJPstatus1874108271302529485.jpg; Remaining unclassified images: 661
2025-01-01 10:38:59 Thread: [pool-1-thread-1] (ID: 33) INFO - New files added: httpsdanbooru.donmai.usposts5959674.png; Remaining unclassified images: 662
2025-01-01 10:39:25 Thread: [ReadAndMovePool-thread-2] (ID: 49) INFO - File(s) has/have been moved; Remaining unclassified images: 660
