2025-08-01 23:40:33 Thread: [Thread-0] (ID: 40) INFO - New files added: 126296766_p0.jpg; Remaining unclassified images: 981
2025-08-01 23:40:33 Thread: [Thread-0] (ID: 40) INFO - New files added: 133072685_p0.png; Remaining unclassified images: 982
2025-08-01 23:40:33 Thread: [Thread-0] (ID: 40) INFO - New files added: 133072685_p1.png; Remaining unclassified images: 982
2025-08-01 23:40:33 Thread: [Thread-0] (ID: 40) INFO - New files added: 133338891_p0.png; Remaining unclassified images: 982
2025-08-01 23:40:33 Thread: [Thread-0] (ID: 40) INFO - New files added: 133338891_p1.png; Remaining unclassified images: 982
2025-08-01 23:40:33 Thread: [Thread-0] (ID: 40) INFO - New files added: 122584327_p0.png; Remaining unclassified images: 982
2025-08-01 23:40:48 Thread: [ReadAndMovePool-thread-1] (ID: 42) INFO - File(s) has/have been moved; Remaining unclassified images: 981
2025-08-01 23:41:38 Thread: [ReadAndMovePool-thread-1] (ID: 43) INFO - File(s) has/have been moved; Remaining unclassified images: 980
2025-08-01 23:41:50 Thread: [ReadAndMovePool-thread-1] (ID: 61) INFO - File(s) has/have been moved; Remaining unclassified images: 979
2025-08-01 23:50:38 Thread: [ReadAndMovePool-thread-1] (ID: 62) INFO - File(s) has/have been moved; Remaining unclassified images: 976
2025-08-01 23:51:21 Thread: [ReadAndMovePool-thread-1] (ID: 63) INFO - File(s) has/have been moved; Remaining unclassified images: 975
2025-08-01 23:51:36 Thread: [ReadAndMovePool-thread-1] (ID: 64) INFO - File(s) has/have been moved; Remaining unclassified images: 974
2025-08-01 23:52:13 Thread: [ReadAndMovePool-thread-1] (ID: 65) INFO - File(s) has/have been moved; Remaining unclassified images: 971
2025-08-01 23:52:13 Thread: [ReadAndMovePool-thread-2] (ID: 66) INFO - File(s) has/have been moved; Remaining unclassified images: 971
2025-08-01 23:52:13 Thread: [ReadAndMovePool-thread-3] (ID: 67) INFO - File(s) has/have been moved; Remaining unclassified images: 971
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-2] (ID: 69) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-1] (ID: 68) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-3] (ID: 70) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-1] (ID: 68) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-2] (ID: 69) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-3] (ID: 70) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-2] (ID: 69) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-1] (ID: 68) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-3] (ID: 70) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-2] (ID: 69) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-3] (ID: 70) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-1] (ID: 68) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-3] (ID: 70) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-2] (ID: 69) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-1] (ID: 68) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-1] (ID: 68) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-3] (ID: 70) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:53:29 Thread: [ReadAndMovePool-thread-2] (ID: 69) INFO - File(s) has/have been moved; Remaining unclassified images: 953
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-2] (ID: 72) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-1] (ID: 71) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-3] (ID: 73) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-3] (ID: 73) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-2] (ID: 72) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-1] (ID: 71) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-1] (ID: 71) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:26 Thread: [ReadAndMovePool-thread-2] (ID: 72) INFO - File(s) has/have been moved; Remaining unclassified images: 945
2025-08-01 23:55:49 Thread: [ReadAndMovePool-thread-1] (ID: 74) INFO - File(s) has/have been moved; Remaining unclassified images: 944
2025-08-01 23:57:41 Thread: [ReadAndMovePool-thread-1] (ID: 75) INFO - File(s) has/have been moved; Remaining unclassified images: 942
2025-08-01 23:57:41 Thread: [ReadAndMovePool-thread-2] (ID: 76) INFO - File(s) has/have been moved; Remaining unclassified images: 942
2025-08-02 00:08:19 Thread: [ReadAndMovePool-thread-1] (ID: 77) INFO - File(s) has/have been moved; Remaining unclassified images: 933
2025-08-02 00:08:19 Thread: [ReadAndMovePool-thread-2] (ID: 78) INFO - File(s) has/have been moved; Remaining unclassified images: 933
